x,y,z,qx,qy,qz,qw,speed
89630.1,43130.7,0,0,0,0.890874,0.454251,4.16667
89628.3,43133.1,0,0,0,0.887679,0.460463,4.16667
89626.6,43135.5,0,0,0,0.886576,0.462583,4.16667
89624.9,43138,0,0,0,0.886618,0.462503,4.16667
89623.2,43140.4,0,0,0,0.886023,0.463642,4.16667
89621.5,43142.9,0,0,0,0.88584,0.46399,4.16667
89619.8,43145.3,0,0,0,0.884065,0.467363,4.16667
89618.1,43147.8,0,0,0,0.881734,0.471747,4.16667
89616.4,43150.3,0,0,0,0.874733,0.484605,4.16667
89614.9,43152.8,0,0,0,0.852035,0.523484,4.16667
89613.5,43155.5,0,0,0,0.798825,0.601564,4.16667
89612.7,43158.3,0,0,0,0.702854,0.711334,4.16667
89612.7,43161.3,0,0,0,0.568884,0.822418,4.16667
89613.8,43164.1,0,0,0,0.332024,0.943271,4.16667
89616,43165.9,0,0,0,0.0957612,0.995404,4.16667
89619,43166.5,0,0,0,-0.171466,0.98519,4.16667
89621.7,43165.5,0,0,0,-0.372298,0.928113,4.16667
89623.9,43163.4,0,0,0,-0.433472,0.901167,4.16667
89625.7,43161.1,0,0,0,-0.50772,0.861522,4.16667
89627.2,43158.5,0,0,0,-0.535709,0.844403,4.16667
89628.5,43155.8,0,0,0,-0.557544,0.830147,4.16667
89629.6,43153,0,0,0,-0.569087,0.822278,4.16667
89630.6,43150.2,0,0,0,-0.575409,0.817866,4.16667
89631.6,43147.4,0,0,0,-0.562746,0.82663,4.16667
89632.7,43144.7,0,0,0,-0.53912,0.842229,4.16667
89634,43142,0,0,0,-0.482767,0.875749,4.16667
89635.6,43139.4,0,0,0,-0.407918,0.913019,4.16667
89637.6,43137.2,0,0,0,-0.292456,0.956279,4.16667
89640.1,43135.5,0,0,0,-0.0599869,0.998199,4.16667
89642.9,43135.2,0,0,0,0.208962,0.977924,4.16667
89645.7,43136.4,0,0,0,0.411634,0.911349,4.16667
89647.6,43138.6,0,0,0,0.624666,0.780892,4.16667
89648.3,43141.5,0,0,0,0.783277,0.621672,4.16667
89647.6,43144.4,0,0,0,0.857466,0.514541,4.16667
89646.2,43147,0,0,0,0.870804,0.491631,4.16667
89644.6,43149.6,0,0,0,0.880947,0.473216,4.16667
89643,43152.1,0,0,0,0.888096,0.459658,4.16667
89641.3,43154.5,0,0,0,0.894407,0.447255,4.16667
89639.5,43156.9,0,0,0,0.899436,0.437053,4.16667
89637.6,43159.2,0,0,0,0.904818,0.425798,4.16667
89635.7,43161.5,0,0,0,0.909045,0.416698,4.16667
89633.8,43163.8,0,0,0,0.911257,0.411839,4.16667
89631.8,43166,0,0,0,0.906128,0.423003,4.16667
89629.9,43168.3,0,0,0,0.896159,0.443734,4.16667
89628.1,43170.7,0,0,0,0.910751,0.412956,4.16667
89626.2,43172.9,0,0,0,0.926643,0.375943,4.16667
89623.9,43175,0,0,0,0.914781,0.40395,4.16667
89621.9,43177.3,0,0,0,0.848589,0.529052,4.16667
89620.6,43179.8,0,0,0,0.728822,0.684703,4.16667
89620.5,43182.8,0,0,0,0.563098,0.82639,4.16667
89621.5,43185.5,0,0,0,0.328683,0.94444,4.16667
89623.9,43187.4,0,0,0,0.129383,0.991595,4.16667
89626.7,43188.2,0,0,0,-0.0738567,0.997269,4.16667
